Site ID,Site Name,Site Brand,Fuel Brand,Address,City,State,Zip,Latitude,Longitude
1005,Buc-ee's - Baytown,Buc-ee's,Buc-ee's,4080 East Fwy,Baytown,TX,77521,29.79915,-94.998299
7001,7-Eleven - Baytown,7-Eleven,7-Eleven,4061 East Fwy,Baytown,TX,77521,29.802957,-94.998255
7002,HEB - Baytown,HEB,HEB,6430 Garth Rd,Baytown,TX,77521,29.795522,-94.97976
7003,Kroger - Baytown,Kroger,Kroger,6315 Garth Rd,Baytown,TX,77521,29.792526,-94.980836
7004,Chevron - Baytown,Chevron,Chevron,5027 East Fwy,Baytown,TX,77521,29.805438,-94.982359
7005,Circle K - Baytown,Circle K,Circle K,7415 Garth Rd,Baytown,TX,77521,29.808278,-94.982988
3003,QT - Corinth,QT,QT,3701 S Interstate 35,Corinth,TX,76210,33.17378167,-97.08800946
1004,Buc-ee's - Cypress,Buc-ee's,Buc-ee's,27106 US-290,Cypress,TX,77429,29.91444,-95.615
6001,Costco - Cypress,Costco,Costco,26960 Northwest Fwy,Cypress,TX,77433,29.979556,-95.712378
6002,Murphy USA - Cypress,Murphy USA,Murphy USA,26272 Northwest Fwy,Cypress,TX,77429,29.974616,-95.699118
6003,Kroger - Cypress,Kroger,Kroger,17455 Spring Cypress Rd,Cypress,TX,77429,29.972068,-95.691388
6004,HEB - Cypress,HEB,HEB,28570 US-290,Cypress,TX,77433,29.991047,-95.746274
6005,Kroger - Cypress,Kroger,Kroger,14909 Fairfield Meadows Dr,Cypress,TX,77433,29.988474,-95.736626
1001,Buc-ee's - Denton,Buc-ee's,Buc-ee's,2800 S Interstate 35 E,Denton,TX,76210,33.180382,-97.100601
3001,RaceTrac - Denton,RaceTrac,RaceTrac,1703 S Loop 288,Denton,TX,76205,33.192156,-97.096261
3002,Murphy USA - Denton,Murphy USA,Murphy USA,1517 S Loop 288,Denton,TX,76208,33.192939,-97.094033
3004,Kroger - Denton,Kroger,Kroger,5021 Teasley Ln,Denton,TX,76210,33.145703,-97.104813
3005,Chevron - Denton,Chevron,Chevron,2400 S Interstate 35,Denton,TX,76205,33.185532,-97.108044
1003,Buc-ee's - Katy,Buc-ee's,Buc-ee's,27700 Katy Fwy,Katy,TX,77494,29.77766,-95.846573
5001,HEB - Katy,HEB,HEB,25625 Katy Fwy,Katy,TX,77494,29.774855,-95.819912
5002,Kroger - Katy,Kroger,Kroger,1704 Spring Green Blvd,Katy,TX,77494,29.764019,-95.842348
5003,7-Eleven - Katy,7-Eleven,7-Eleven,26150 Katy Fwy,Katy,TX,77494,29.778089,-95.830418
5004,Timewise - Katy,Timewise,Shell,26149 Katy Fwy,Katy,TX,77494,29.776638,-95.831655
5005,Murphy USA - Katy,Murphy USA,Murphy USA,25104 Market Pl Dr,Katy,TX,77494,29.782539,-95.802467
1002,Buc-ee's - Madisonville,Buc-ee's,Buc-ee's,205 I-45,Madisonville,TX,77864,30.96524,-95.880432
4001,Tiger Mart - Madisonville,Tiger Mart,Exxon,3207 E Main St,Madisonville,TX,77864,30.967264,-95.882101
4002,Shell - Madisonville,Shell,Shell,3002 E Main St,Madisonville,TX,77864,30.964679,-95.879665
4003,7-Eleven - Madisonville,7-Eleven,7-Eleven,101 I-45,Madisonville,TX,77864,30.964679,-95.879665
4004,Timewise - Madisonville,Timewise,Shell,3002 E Main St,Madisonville,TX,77864,30.96467,-95.884257
4005,Eagle Mart - Madisonville,Eagle Mart,Valero,401 S May St,Madisonville,TX,77864,30.948165,-95.909812
7006,Zip 'N - Madisonville,Zip 'N,Sunoco,101 I-45,Madisonville,TX,77864,30.965313,-95.884567
